일련번호,Title,연도,저자,구분,Topic,요약
56,기하학 세상을 설명하다,2022,조던엘렌버그,과학/기술,수학과 사회,"현실 세계의 다양한 수학적인 이면을 기하학의 관점에서 들여다 보는 어려운 책. 기하학이 형식적 연역의 연속이라고 생각하지만, 직관적인 태도가 상당히 요구된다. 또한 기존의 틀을 유지하는 것이 아닌, 틀 너머의 것을 보는 새로운 시각들도 있다. 예를 들면, 유클리드의 5번째 정리인, 한 직선밖에 한 점을 지나는 평행성은 하나밖에 없다, 와 같은 명제로 부정되는 기하학적 세계도 존재하는 것이다.위상 기하학에서, 빨대의 구멍의 개수를 추론하는 과정을 통해 우리가 익숙하게 생각하는 공간 개념을 해체한다. 면적을 늘리는 것을 허용하는 스크런치도 마찬가지.로널드 로스의 모기에서 랜덤워크 이론과 바슐리에의 증권 가격 모델이 등장한다체스 세계챔피언 틴슬리의 이야기에서, 경우의 수에 대한 Tree 모델을 접할 수 있다암호 분야에서 필요한 거대 소수를 위해 오팔 반지를 이용한 기하학적 해결 방법에 대해서도 논의한다.인공지능 분야의 경사하강법의 논의도 있고, 코로나를 배경으로 전염과 수열관계, 그리고 미분방정식으로 연결 고리도 설명한다.피보나치, 구글의 페이지 랭크, 그리고 스탠리 밀그램의 작은 세상 이론의 연결고리 설명도 현란하다.개리맨더링을 통한 법적 판단과 기하학적 해결책의 상관 관계는 의미심장하다"
57,기획의 정석,2013,박신영,경제/경영,기획 방법론,기획의 본질과 방법론에 대해서 실감나게 잘 설명한 책먼저 기획의 중심은 기획자가 아니라 대상이 되는 상대방이므로 그의 입장에서 이해가 되어야한다.4MAT의 틀로 시작하면 좋은데 WHY WHAT HOW IF이다. 이중에서 WHAT을 먼저 꺼내기보다 WHY로 시작해야 본질에 충실한 기획이 된다.시작이 막막하면 그림으로 시작해라. 이상적인 모습과 현재를 비교하고 그 차이와 원인이 무엇인지 도시화하면 좋다. 목표를 명확히 하려면 문제를 잘게 쪼개어 보라. MECE방법을 참고하라. 또한 쪼개진 부분들을 그룹핑하고 네이밍을 하면서 좀더 구체화시킬 필요가 있다.지금까지 내용들은 심플하게 컨셉의 형태로 표현될수 있어야 하는데 한다. OO하면 의미있쟎아. 대세가된다. 이렇게 이미지화하자.액션플랜을 보여줄땐 사용자의 시점에서 일어나는 일들을 따라가면서 정리하되 5W1H로 매트릭스화하면 듣는이가 따라가기 좋다. 이때 IF관점에서 이걸하면 이렇게 될겁니다라는 메리트를 한번더 부각하자.마지막으로 모든 기획들을 스토리텔링이 되게하라. 숫자를 쓰거나 비교 대상을 명확히 하면 사람들은 이해하기 좋은 이야기로 받아들인다
58,기후미식,2022,이의철,과학/기술,지속 가능한 식습관,"기후위기를 대응하기 위해서 우리의 식단을 바꿔야 한다는 주장을 담고 있다.기후위기 위기는 이미 일상이 되고 있으며, 이는 식량위기와 우리 건강에도 심각한 영향을 줄 수 있으며, 기후난민도 심각한 이슈로 예상된다.이를 위해, 화석연료를 최소화하고, 전기차의 보급을 높이는 시도를 하고 있지만, 우리의 먹거리를 바꾸는 것이 좀더 우선순위가 높다. 이유는 지표면의 71%중 절반인 농지가 대부분 가축 방목지며, 이로 인한 삼림의 소실이 심각하기 때문이다.또한 가축의 배기가스나 분뇨를 처리하는 과정의 메탄은 이산화탄소보다 80배 이상의 온실효과를 가져 기후위기를 심화시키고 있다.이를 위해 소/돼지등을 통한 동물성 단백질을 식물성 단백질로 전환하는 대대적인 변화가 필요하다. 플랑크톤등 해양생물도 이산화탄소를 해저에 가두는 역할을 하므로, 역시 섭취를 제한하는 것이 필요하다.동물성 단백질은 인슐린 저항성을 높이는 것으로 알려져서, 심장병등 만성질환의 핵심적인 원인으로 지목된다. 따라서 곡물과 채식을 통해 인류의 건강에도 큰 도움을 줄 수 있다.네델란드/캐나다 등은 채식을 강조하는 새로운 행동 지침등을 제정했으며, 우리도 김치와 나물등 K-푸드가 장점을 십분 살려 기후위기 개선에 동참해야 한다"
59,김대식 빅퀘스천,2014,김대식,과학/기술,삶의 의미,"인간의 삶과, 사회적 관계, 그리고 우주의 진리에 대한 이른바 큰 질문들을 나열하고 있다.    [인간의 삶] 바람직한 삶이 한국 vs 길가메시와 같이 다양함을 보여줌. 삶의 의미는 나 자신만을 위해서라면 필요가 없으나 무의미한 삶은 시지프스와 같다는 모순.인간의 죽음은 태어나기 전의 무존재이므로 슬퍼할 일이 아님. 운명이란 자유의지의 반대로서, 순간의 선택과 우연의 집합.      [사회적 관계] 진실은 사람들간의 차이에 의해 달라지며, 러셀과 화이트헤드의 수학원리도 괴델에 의해 반박됨. 민주주의는 불평등 특히 AI에 의해 위협. 서양이 세계를 지배한 것은 사후적인 설명으로서, 과거를 정복하는 것이 필요함. 소유는 농업사회가 기원이며, 아리스토텔레스도 필요성을 주장하지만, AI로 인한 모든 것이 무료인 미래는 소유의 의미가 
있을까?     [우주의 진리] 인간은 자신과 똑같은 나를 사랑하는 모순. 시간은 엔트로피의 흐름. 인간은 관찰과 수학으로 세상을 이해하는데 우주가 수학적으로 설명되는것은 그자체가 수학이어서라고. 따라서 만물법칙은 여러개의 시뮬레이션된 수학적 우주 가운데 우리가 체험하는 우주의 몇가지 상수임. 노화는 진화의 무관심에 의한 자유를 만끽하는것. 정보는 무질서를 질서로 바꾸는 것인데 인간은 정보에 편입되어 자아를 상실하고 우리가 됨. 마음도 다층의 신경망에 의해 만들어진 것이므로 AI는 더 복잡한 마음을 가지고, 기계가 만들어내는 미래에 인간의 존재 이유를 지금부터 계몽해 나갈것"
61,나는 4시간만 일한다,2007,팀 페리스,인문/자기계발,시간 관리,"유명한 경영서 저자인 팀 페리스는 자신은 핵심적인 일에 집중하고, 나머지는 효과적으로 위임하는 방법을 통해 인생을 보다 의미있게 보낼 수 있다는 메시지를 전달한다. 처음 이책을 읽었을 때 아주 신선하다는 것을 느꼈고, 이책에 영향을 받은 많은 이들이 아마 파이어족으로 전향을 시도했을 것이다.하지만, 냉철히 보면, 결국 자기 사업을 해야만, 경제적/시간적 자유를 얻을 수 있다는 것인데, 일반적인 사업가로서는 얻기 어려운 경지일 것이다.이런점을 인식하면서도, 그가 제안한 위임을 하는 여러가지 방법에 대한 조언이나, 디지털 노마드로서 세계의 다양한 도시에서 생활할 수 있다는 넓은 시야를 보여준 것은, 분명히 중요한 의미가 있다고 본다"
62,나는 단순하게 살기로 했다,2015,사사키 후미오,인문/자기계발,미니멀리즘,"저자는 사람은 빈손으로 태어난 미니멀리스트였으므로, 물건에 대한 집착을 버리고 미니멀리스트로 살아가야 한다고 한다.물건을 소유하고자 하는 것은, 결국 그것을 통해 사회적 가치를 인정받으려는 욕구에서 기인될 가능성이 크다.잘 버리기 위한 몇가지 팁을 제시하면, 가차없이 버려도 손해볼것이 없다는 것을 명심하고, 일년이상 사용을 안 하거나, 물건을 보고 가슴이 뛰지 않는 물건을 버리라고 한다. 또한, 최신 기술을 이용해 디지털 장치에 저장하거나, 렌탈 서비스를 잘 이용하면 구매하지 않고도 이용할 수 있다. 독특한 것은 저자는 미니멀리스트의 중독도 경계를 하고 있다. 경쟁적으로 버리기만 한다거나, 물건을 소유한 사람을 비난할 정도가 되어서는 안되겠다. 중요한 것은 버리고 남은 지켜야 할 소중한 것들이 목적이 되어야 한다는 것"
64,나는 왜 이일을 하는가,2013,사이먼 사이넥,인문/자기계발,리더십,"사이먼 사이넥은 3단계 골드서클이라는 컨셉을 제시함으로써 유명한 인플루언서가 되었다. 그것은 What-How-Why의 3개의 원이 점점 작아지는 형태의 그림으로써, 무엇을 할 것인지 찾기 전에 왜라는 질문에서 시작해야 한다는 것이 핵심이다.저자는 3단계 골드서클을 기업 조직과 고객 창출의 경영 원리에 접목하여 일관된 주장을 한다.먼저 더 성공적인 조직이 되기 위해서는, 성과지표 개선을 위한 단기적인 What에 집중하기 보다, 구성원이 Why를 인식하고 스스로 열정적으로 움직일 수 있는 환경이 구성되어야 한다.고객에게 다가설때도, 이 제품이 어떤 기능을 제공하는지 보여주기 보다, Why에 집중함으로써 그들이 진정으로 원하는 것을 알고 그것을 제공함으로써 성공적인 비즈니스를 영위할 수 있다"
65,나를 지키며 일하는 법,2017,강상중,인문/자기계발,일과 자아실현,"재일 정치학자인 저자가, 일의 의미를 다시 찾고, 좀더 만족스러운 직업 생활을 위한 조언을 자신의 경험을 바탕으로 주고 있다. 먼저 일의 정의를 사회에서 한 개인이 부여받은 사명이자, 자기 자신의 개성을 찾는 과정으로서 보며, 이 2가지를 조화시키기가 어려움을 인정한다.이에, 일에 매몰되지 않고 자신을 지키면서 일하기 위해, 저자는 고전과 신문 텍스트를 통해서 깨달음을 얻기를 해법으로 제시한다. 자본주의 정신을 막스 베버로부터 배우고, 인문학과 스티브 잡스로부터 사람들에게 어떤 상품을 제공해야 하는지, 시장은 왜 현대사회를 지배하는지를 폴라니의 전환의 시대를 통해 폭넓게 이해한다면, 좀더 만족스럽게 직업 생활을 할 수 있다.또한, 역사속의 리더들을 통해 배울 것을 강조한다. 벤저민 플랭클린으로부터 직업 윤리, 혼다 소이치로, 스티브 잡스로부터 인문학적 통찰, 김대중의 반발짝만 앞서가기등, 그들이 보여준 시대를 읽는 통찰력을 주의깊게 보자"
67,내 마음도 모른채 어른이 되었다,2023,로베르토 리마 네토,인문/자기계발,자아 발견,"현대 사회의 어른의 정신적 성장에 대해 논의하기 위해, 저자는 어린 왕자를 소재로 가져왔다. 독특한 경력의 저자는 융 심리학에 대한 지식을 바탕으로 이를 어린 왕자 이야기의 주인공들에 녹여 내어, 심오한 이론을 풀어내고 있다. 하지만, 원론이 자체가 난해한 탓인지, 아니면 원래 모호한 개념의 열거여서 그런지, 충분히 이해 가능하게 풀어내지지는 않은 느낌.융 심리학은 진아와 자아라는 개념을 도입해서, 한 인간의 정신적 발전 상태를 정의한다. 진아가 무엇인지 추정해 보면, 신성(또는 집단 무의식)과 같은 참된 지혜의 보고와 같은 것으로 여겨진다. 자아는 어린 시절 진아와 통합되어 있다가, 거기서 자아를 점점 획득하는 과정을 겪는데 이를 개인화라고 한다. 이 책은 자아가 다시 진아와 통합되려는 것은 어린 시절로의 퇴행이며, 자아가 팽창 일변도로 진아와 멀어지기만 하면, 삶의 진정한 의미를 찾을 수 없다고 한다. 따라서 진아에서 멀어져 자아를 추구하다가도, 진아와 가까이 대화하기도 하는 경로를 따라야 한다는 것이 내가 이해한 이 책이 제시하는 융 심리학이다."
69,내가 된다는 것,2022,아닐 세스,과학/기술,의식과 자아,"의식이 무엇인가를 정의하는 상당히 어려운 문제에 대해 도전하고 있는 책이다. 의식을 정의하는 것은 단순히 기능적 속성에 관한 쉬운 문제와 함께, 이런 기능들이 왜 생생한 경험을 수반해야 하는가 하는 어려운 문제를 포함한다.  이 어려운 문제를 풀기 위해, 저자는 의식의 실재적 문제, 즉 빨강이라는 인식을 할때, 뇌의 다양한 상태를 관찰하여 연관짓는 접근 방법을 제안한다. 따라서 이를 바탕으로 의식의 수준, 내용, Self등 3가지 단계를 통해 의식을 규정하고자 한다. 먼저 각성과 의식은 동일하지 않으므로(REM:각성X 의식O) 의식의 수준을 확인하는 다양한 측정방법이 정의되었다. TMS자극에 의한 뇌파의 PCI복잡도를 측정해 어느정도 의식의 수준을 정의할 수 있다. 다음 의식의 내용은, 하향식 예측 기제라는 혁신적인 제안이 등장한다. 감각을 통해 들어온 빨간색이 존재하는 것이 아니라, 우리가 빨강이라는 또는 chairness를 인식한 상태에서 이를 예측하여 오류를 최소화하는 추측을 할 뿐이다. 마지막으로 자기 인식. 뇌와 신체의 목적은 생명을 유지하는 것이며, 그를 위해 필수적 생리변수를 강력하게 제어해야 한다. 이는 내가 안정적이라는 제어된 환각을 강하게 수반하며, 바로 이것이 가장 깊숙한 심층에 존재하는 Being a self 의식이다"
70,내가 혼자 여행하는 이유,2015,카트린지타,인문/자기계발,자기 발견,"혼자 여행을 하는 것은 처음에는 두렵지만, 낯선 곳에서 어려움을 헤쳐나가다보면, 자신이 의외로 할 수 있는 것이 많다는 것을 알게 된다. 또한 자신과 스스로 대화하고 몸으로 느껴보면서 자신을 더욱 신뢰하게 된다. 다른이의 말에 좌우되기 보다 스스로 판단해서 실행하는 자유는 우리가 원하던것 아닌가우리는 사랑하는 사람에 항상 같이 있으려고 하지만, 때로 멀리 떨어져 있는 것이 더욱 애틋함을 키워준다. 저자는 몇가지 여행을 팁을 제공한다. 7년에 한번, 인생의 전환점에서 여행이 도움이 되고, 여행을 떠나기전 목표를 정하고(예를 들면 음악가 생가 방문) 가야 나에게 도움이 된다. 또한 사진보다는 글쓰는 것이 여행의 기억을 오래 남기는 방법이다.또한 홀가분하게 여행을 떠나는 마음으로 일상 생활을 즐기는 것도 좋다. 우리는 진실한 자신과 여행을 통해 이미 대면했기에 충분히 가능한 일이다"
71,내러티브 경제학,2021,로버트 쉴러,경제/경영,내러티브 경제학,"내러티브가 경제의 다양한 현상, 특히 경제적 위기의 발생에 큰 영향을 미친다는 것을 설명하고 있다.내러티브는 전염병과 같이 전염률과 회복률의 균형에 따라서 유행할 수도 있고 아닐수도 있으며, 전염률/회복률을 측정할 방법은 아직 없다. 신경학의 발전은 두려움을 기억하고자 하는 메커니즘이 내러티브의 자발적 확산을 유발할 수 있음을 보여준다. 강한 내러티브는 사람의 마음속에 남아 경제적 변화를 유발할 수 있음을 받아들여야 한다.저자는 경제 내러티브중 오랜 기간 유지되고 있는 몇가지 중요한 예시를 제시하는데, 이들은 시대에 따라 변이하면서도 재발하는 모습을 띤다.경제공황과 신뢰 상실, 근검절약과 과시적소비는 경제 위기에서 자주 등장하는 내러티브이며, 금본위제와 복본위제는 비트코인 내러티브에서 유사하게 재현된다. 노동절약기계, 그리고 자동화의 신화는 기술적 실업와 연관된 아주 오래된 내러티브로 AI시대의 핵심 담론이다. 부동산, 주식 시장의 거품론 역시 현대 경제에 반복되는 주제이다. 물가에 대한 악덕기업가와 노조의 임금인상의 영향도 물가가 이슈가 되는 주요한 국면에 언제나 등장하는 주제이다."
72,내안에서 나를 만드는 것들,2015,러스 로버츠,인문/자기계발,행복과 도덕성,"애덤 스미스의 도덕감정론에 대한 해설서.사람은 인류애가 있어서 타인에게 선행을 베푸는 게 아니라, 그렇게 행하는 자신이 가치있다고 여기는 자기애때문에 그렇게 한다. 이를 애덤스미스는 공정한 관찰자의 시각이라고 했다. 마찬가지로, 다른 사람에게 사랑받기를 원하는데, 사랑받을만한 자격이 있는 사람이 훌륭하다고 여기는, 공정한 관찰자의 시각이 여기에도 적용된다.그러나, 사람이 이런 덕행을 실행하지 못하는 것은, 공정한 관찰자가 존재하지 않아서가 아니라, 이를 부정하는 자기기만때문이라고 한다.한편, 사랑받기 위해 돈과 명예를 추구하는 것은 자연스러운 일이나 과도해질수 있으므로, 미덕을 좆는 것을 그는 권장한다. 이런 미덕에 해당하는 것은 자기에 대한 신중, 타인에 대한 정의와 선행의 실천이다.이런 미덕은 사회전체적으로 어떻게 실현될까? 어떤 대의가 아닌, 각 사람의 작은 행위와 이에 대한 주변사람들의 피드백이 모여서 사회 전체를 서서히 바꾼다. 그런 의미에서, 시스템적인 혁신에만 의존하는 사람들을 경계하는 태도를 애덤스미스는 가지고 있다"
73,내일의 경제,2014,마크 뷰캐넌,경제/경영,금융 위기,"경제 위기를 예측하는데 있어서, 주류 경제학의 평형 개념의 한계와 이를 극복하기 위해 현대 과학의 성과를 이용한 새로운 방향을 제시한다.주류 경제학은 보이지 않는 손, 수요공급 법칙으로 대표되는 이른바 평형 개념에 기반한 경제 이론을 제시하고 있다. 애로와 드브뢰의 증명에서 시작되어 유진 파마의 효율적시장가설(EMH)을 통해 예측 불가능하면서도 평형에 이르는 시장을 설명한다. 하지만 그들은 2007년 금융위기는 사소한 예외로 치부하는등 주요한 경제 위기를 예측하는데는 실패해왔다.저자는 지진과 같은 자연과학과 유사한, 멱함수분포/두꺼운꼬리 현상이 금융시장에 존재함을 보여준다. 이 현상의 이면에 기존 경제학의 합리적 인간 가설이 아닌, 불합리한 인간들로 구성된 시장이 있다고 하며, 나아가 개개인이 아닌 군집으로 인해 새로운 불확실성의 동역학이 발생한다. 아서의 엘파롤 술집게임을 통해, 전략의 개수가 정해진 상태에서 참여자수가 증가하면, 내쉬균형에 수렴하지 않고 불안정한 상태가 계속됨이 입증된다. 이는 파생상품이 난무하는 온갖 금융규제가 풀린 환경, 그리고 빛의 속도로 트레이딩이 일어지는 현실에서 금융이 불안정한 작금의 경제 상황을 대변한다."
74,냉정한 이타주의자,2017,윌리엄 맥어스킬,역사/사회,효율적 이타주의,"사회 공헌을 위해서 우리가 무엇을 할 수 있는지? 막연하게 우리가 가진, 이타적 행위에 대한 환상을 깨치게 해주는 내용이다.저자는, 이타적 행위를 위해 고려할 5가지를 강조한다. (1) 얼마나 많은 사람들에게 영향을 주는가? (2) 가장 비용적으로 효율적인 방법은? (3) 눈에 보이지 않는 방치된 다른 분야는 없는가? (4) 이걸 실행하지 않았다면 어떻게 되었을지? (5) 성공가능성과 기대 효과는 어떻게 되나?이런 기준을 바탕으로, 자선단체를 선택할 때도, 실제로 많은 사람들에게 혜택을 주는지, 비용 효율적인지 검토하자. 윤리적 소비 또는 공정무역을 내세우는 제품들이 더욱 도움이 필요한 저소득 국가의 노동자들을 외면할 수도 있다는 것도 인식하자.또한, 사회 공헌에 헌신하려고 하는 젊은이들이, 자신의 역량과 커리어를 충분히 고려하여, 우선 민간업체에서 기술을 습득하거나, 보수가 좋은 직장에서 기부금을 많이 내는등, 새로운 대안도 제시하고 있다"
75,넘버스스틱,2022,"칩 히스, 댄 히스",경제/경영,숫자 소통,"발표등에서 숫자를 표현할때, 사람에게 가장 잘 전달되는 방법을 제시한다. 숫자와 통계는 글자 그대로 전달할 경우 복잡하여, 듣는 이에게 잘 전달되지 않는다. 따라서 이를 일상의 언어로 번역하는 것이 중요하며, 되도록 숫자를 피하고, 구체적인 사물로 시각화하자. 지구의 담수비율  2.5% → 4리터 물통과 얼음3조각. 1로 환원하기. 부채10조달러 → 1인당 4만달러익숙한 대상. 파키스탄 → 캘리포니아주 2배구체적인 사물. 식사 1.37달러/일 → 감자부추수프단위 바꾸기. 당첨확률 100만분의1 → 0-2500년 사이에 하루 맞추기사람기준 스케일. 개미의 행동반경 → 인간기준 미국국토 범위비교로 효과 극대화 (1등이 2등의 2배). 아이젠하워의 전쟁비유.청자의 입장으로 환원. 케냐 50%식비 → 미국650달러 감자앙코르기법. 가축사육 → 지구전체 주거지+아프리카호주기대 깨트리기. 무역협력 기대치 → 중국 91% 미국 꼴찌 56%미니어처 만들기1. 지구 역사를 24시간으로 축소하기. 미니어처 만들기2. 정부예산을 1년 개인예산으로 비유하기"
77,넷플릭스 스타트업의 전설,2015,지나 키팅,경제/경영,스타트업 성장,"넷플릭스의 창립과 성장 역사를 담고 있다.넷플릭스는 1997년 마크 랜돌프에 의해서 DVD를 대여하는 서비스를 내세워 회사가 시작되었다. DVD는 작은 사이즈로 우편봉투에 얼마든지 남아서 배달될 수 있다는 것을 확인한 것이 결정적인 계기였다.DVD 플레이어 업체와, DVD 출시를 시작한 영화사들을 끌어들이면서, 점점 컨텐츠 양을 늘려갔고, 무엇보다 고객의 취향에 맞게 영화를 추천하는 협력적 필터링등 최신 기술을 활용하여 가입자 수를 점차 늘려간다.한편, 회사가 성장함에 따라, 카리스마가 넘치는 헤이스팅스를 공동 CEO로 영입하고, 전략적행보와 투자자유치에 능한 그에 밀려 랜돌프는 사임하게 된다. 회사는, 시네매치, 회원제요금제를 통해 기존 렌탈 서비스 시장을 잠식해 간다. 가장 거대한 렌탈사업자인 블록버스터도 온라인 대여서비스에 뛰어들고, 온오프라인 통합회원제로 넷플릭스를 크게 위협했지만, CEO의 교체로 인해 다시 오프라인에 주력하는 방향으로 바뀌면서 넷플릭스는 한시름 놓게 된다. 넷플릭스는 스트리밍 서비스를 출시하고, 사람들이 이에 더 익숙해지면서 DVD 대여 서비스에서 컨텐츠 스트리밍 분야의 최고 회사가 된다."
78,노동의 시대는 끝났다,2020,대니얼 서스킨드,역사/사회,기술 발전,"자동화와 인공지능의 발전에 따라 일자리의 장기적인 전망이 어떻게 될지는 논의한다. 기존에는 자동화가 저숙련 일자리를 빼앗는다고 인식되었지만, ALM 이론에 의해 틀에박힌 업무(일자리가 아니라)가 자동화에 대체한다는 것이 밝혀진다. 하지만, 틀에박힌이라는 기준 역시 인간이 명확하게 규칙화할 수 있느냐에 의해 정해지는데, 최신 인공지능의 발전은 이와 다른 방식으로 지능을 구현하고 있기 때문에 위험하다는 것이 저자의 주장이다. 이전의 AI는 명확한 규칙 기반의 지능을 지향했지만, 이른바Deep Learning으로 불리는 새로운 AI 학습방법은 인간의 규칙을 따르지 않고도 얼마든지 고도의 지능을 구현할 수 있음을 보여준다. 이에 의해 많은 업무가 점점 기계에 잠식당하고 있어, 이른바 우월성의 추정도 지속적인 기계의 인간 능력 대체에 의해 설자리를 잃어가고 있다. 이에 의해 인간노동의 필요는 줄어들고, 기계노동과 결합된 자본의 영향이 더 커지면서 불평등은 심화될 것으로 예상된다. 이에 대한 대응으로, 교육을 언급하는 사람도 많지만, 결국은 우월성의 추정이 부정되는한 한계가 있다. 따라서 국가가 적극적으로 분배에 나서서, 특히 자본의 분배를 통해 사람들이 스스로 소득을 창출하게 해야 한다. 일이 소멸된 이후의 여가에 대한 정책적 고민과 철학이 필요한 시점이다"
79,노동자없는 노동,2022,필존스,역사/사회,미세노동,"21세기 자본주의의 발전이 만들어내고 있는 미세노동의 현실을 고발하고, 이에 대한 대응을 촉구한다. 아마존의 메카니컬터크(AMT)은 데이터 가공을 외주 노동자에게 임시 노동의 형태로 배분하고 있다. 이런 형태의 노동은, 이른바 임팩트소싱으로 알려지진 사마소스와 같이 저개발국의 노동자에게 새로운 IT 일자리를 제공하는 기회로서 포장되고 있으나, 실상은 제대로 된 일자리가 아닌 임시 노동을 양산할 뿐이다. 인공지능과 자동화에 의한 일자리의 소멸을 주장하지만, 실제로는 기계와 인간의 협업이 반드시 필요하기 때문에,  하찮은 생산성 개선을 위해 편집, 평가등 특수한 데이터 작업만 미세 노동화한 인간+컴퓨터 협업 시스템을 만들어서 연명하고 있다. 자본주의의 성숙으로 늘어나는 노동력을 수용할 수 없게 되자, 파편화된 미세 서비스 노동이 증가하는데, 플랫폼 자본주의는 이런 미세노동자들을 알고리즘의 감시를 통해 통제하면서 이른바 SaaS와 같은 서비스형 인간을 양산하고 있다. 이런 환경에서 노동자들은 근시안적인 시각을 가지고, 서로에게 연대할 수 없게 되며, 결과적으로 자본의 효율화에 기여하면서 노동의 잉여로 스스로 일자리를 삭제하는 모순에 빠지게 된다. 저자는 이를 극복하기 위해, 조합은 없지만 연합을 구성하고, 무임금 투쟁을 통해 자본에 항거하는 것이 유일한 수단임을 강조한다"
80,노이즈,2022,대니얼 카너먼,역사/사회,판단 오류,"우리가 각종 판단에서 어떻게 오류를 범하고 있는지 분석하고 대책을 제시한다.판단의 오류중에 편향에 대해서는 많이 알고 있지만, 노이즈에 대해서는 문제의 심각성이 잘 인지되지 않고 있다. 정규분포상, 참값에서 벗어난 평균값이 편향이지만, 그 산포를 나타내는 노이즈도 심각한 문제이다.노이즈는 개인별 판단기준의 차이를 나타내는 레벨 노이즈와, 각 개인이  보이는 변동폭인 패턴 노이즈가 있다. 생각보다 패턴 노이즈는 상당히 커서 노이즈의 많은 부분(70% 이상)을 차지한다.노이즈는 시스템1 사고에서 주로 발생한다. 어림짐작이 척도와 결합되었을때, 사건별로 개인이 가지는 특정한 패턴에 의한 노이즈가 증폭된다. 하지만, 사람들은 귀인적 사고에 의해, 노이즈를 인정하지 않고, 편향에 의한 것으로만 해석하는 경향이 크다.노이즈를 줄이기 위해서는, 지식과 개방성을 겸비한 좋은 판단자. 가이드라인을 통한 각기 다른 척도 문제의 방지. 한번에 최종 결정에 이르지 않고, 구조화하는 방법등이 효과적이다"
81,노화의 종말,2020,데이비스 싱클레어,과학/기술,노화 방지,"인간의 노화가 극복될 수 있다는 혁신적인 발견을 한 싱클레어의 주장에 대한 내용이다.현대 의학은 노화의 원인을 활성산소에 의한 DNA 손성, 텔로미어의 감소등으로 들고 있지만, 저자는 좀더 근본적인 원인을 후생유전학에서 찾았음을 주장한다. 장수물질로 알려지는 서투인(SIRT)이 NAD, AMPK등과 함께, 세포의 유전자를 적당하게 켜고 끄는 역할, 즉 후생유전적인 역할을 못하게 되는, 이른바 정보의 손실이 노화의 원인이다.따라서 노화의 단일한 이 원인을 제거하는 것이, 현재의 각각의 질병(심장병,알츠하이머등)을 대응하는 것의 한계를 극복하고, 실질적으로 건강수명을 증가시킬 수 있다고 한다.단기적으로는 소식, 채식, 운동하기등이 생활 습관을 개선하는 것과 함께, 라파마이신,메트포르민, STAC(레스베라스톨), NAD등의 물질을 섭취하는 것이 장수물질을 활성화해서 노화를 억제할 수 있다. 나아가서, 후생유전정보의 손실을 재프로그래밍하는 방법을 발견하는 것이 더욱 근본적인 해결책이다.또한 각종 센서의 발달에 의한 맞춤 의학도 이런 효과를 극대화시킬 수 있다.끝으로, 수명연장이 가져올 인구증가에 대해서는, 건강한 노년이 가져올 새로운 활력과 기술을 통한 자원 소실의 문제도 같이 해결해야 함을 역설한다"
82,뇌 욕망의 비밀을 풀다,2019,한스게오르크호이젤,과학/기술,신경마케팅,"최신 신경마케팅의 다양한 기법들에 대해서 설명하는 책. 우선 Limbic 시스템이라고 하는 뇌의 변연계의 감정처리를 모방한 구조를 통해 인간의 욕구를 마케팅에 활용하고자 한다. 지배, 자극, 균형 시스템의 3가지 부위로 구분된 이 지도를 잘 활용하는 것이 마케팅 효과를 극대화할 수 있다. 기능이나 합리성에 기반해서만 고객이 판단하는 것이 아니라, 감정의 다양한 영역과 상호작용한 결과라는 것.의식적인 판단으로 보이는 이면에 항상 무의식적인 감정 시스템의  작용이 있으며, 사람들은 이를 사후적으로 합리적인 판단의 결과로 설명한다.고객을 이해하기위해서는, 먼저 다양한 고객의 유형(전통주의자등)을 알고, 성별 차이, 테스토스테론과 에스트로겐의 영향을 잘 인식해야 한다.또한 나이의 영향은 절대적이어서, 특히 노년층은 자극/지배 시스템보다, 균형 시스템의 영향으로 소비를 주저하고, 건강에 집착하는 경향을 보여준다.이를 이용해 고객을 공략하기 위해서는, 감정 시스템과 단단히 결합된 브랜드 영역을 확고히 구축하고, 무의식적 자극 요소인 '큐'를 언어뿐 아닌 청각/미각등을 활용할 필요가 있다. POS에서도 뇌에 저장된 공간 감각등 이용하는 방법이 중요하다.마지막으로 뇌스캔 기술등인 절대화하지 말고, 소비자 감정 분석의 보조적인 수단으로 활용하면 도움이 된다"
